,XLK,XLC,XLY,XLP,XLV,XLF,XLI,XLE,XLB,XLU,XLRE,MTUM,QUAL,USMV,SGOV,SHY,IEF,AGG,LQD,TIP,PDBC,DBP,CPER,DBA,REMX,SH,PSQ,IBIT,ETHA,SPY,QQQ,TLT,UUP,^VIX,GLD,SLV,SPHQ,SPLV,SPMO,VEA,VWO,RPV,SIZE,VBR,HYG,EMB
2018-01-02,29.872922897338867,,46.27524948120117,45.314571380615234,72.72332763671875,23.884138107299805,66.25483703613281,25.74725914001465,25.995676040649414,20.132579803466797,24.83758544921875,94.49961853027344,74.05790710449219,45.579689025878906,,69.84317779541016,86.400390625,85.8486557006836,89.694580078125,88.22066497802734,8.680386543273926,33.84870147705078,20.920000076293945,16.306482315063477,71.82369232177734,98.7568130493164,142.85733032226562,,,236.56214904785156,150.22213745117188,99.09391021728516,20.009973526000977,9.770000457763672,125.1500015258789,16.209999084472656,27.154788970947266,39.791481018066406,31.43710708618164,35.285274505615234,36.59663391113281,55.51468276977539,73.3858413696289,112.72938537597656,56.09246063232422,77.93830108642578
2018-01-03,30.122095108032227,,46.487701416015625,45.29853820800781,73.419189453125,24.0124568939209,66.61170959472656,26.132863998413086,26.17776107788086,19.97442054748535,24.84516716003418,95.44518280029295,74.58257293701172,45.674747467041016,,69.84317779541016,86.49068450927734,85.85655212402344,89.85801696777344,88.30593872070312,8.72984790802002,33.77046585083008,20.809999465942383,16.29788589477539,72.94776916503906,98.13070678710938,141.50851440429688,,,238.05845642089844,151.68185424804688,99.56771850585938,20.08523178100586,9.149999618530272,124.81999969482422,16.170000076293945,27.323400497436523,39.91740417480469,31.701284408569336,35.50361633300781,36.949275970458984,55.66377639770508,73.71835327148438,112.71253967285156,56.362213134765625,77.90486907958984
2018-01-04,30.274368286132812,,46.6401252746582,45.4267692565918,73.5235595703125,24.23487663269043,67.09910583496094,26.29059600830078,26.40642738342285,19.808551788330078,24.42046356201172,96.24523162841795,74.9205093383789,45.85615539550781,,69.80986785888672,86.44963073730469,85.80148315429688,89.82827758789062,88.3292007446289,8.734794616699219,33.93562316894531,20.780000686645508,16.272098541259766,73.83766174316406,97.73529052734375,141.26324462890625,,,239.06185913085935,151.94723510742188,99.55189514160156,20.018335342407227,9.220000267028809,125.45999908447266,16.229999542236328,27.438753128051758,40.02653121948242,32.0556526184082,35.82332229614258,37.1765251159668,55.91228485107422,73.84959411621094,112.97364044189453,56.458526611328125,78.10575866699219
2018-01-05,30.592754364013672,,47.009620666503906,45.62713623046875,74.14978790283203,24.303312301635742,67.56045532226562,26.280086517333984,26.618148803710938,19.80083465576172,24.473546981811523,97.01802825927734,75.40958404541016,46.089412689208984,,69.80986785888672,86.34285736083984,85.7464370727539,89.79859161376953,88.31366729736328,8.700172424316406,33.90085220336914,20.6200008392334,16.186141967773438,74.61046600341797,97.0433120727539,139.87350463867188,,,240.6549835205078,153.4732208251953,99.26763916015625,20.03506088256836,9.220000267028809,125.33000183105469,16.219999313354492,27.669485092163086,40.16923522949219,32.29341506958008,35.9948844909668,37.50565719604492,56.07795333862305,74.44459533691406,113.3357925415039,56.49705123901367,78.15260314941406
2018-01-08,30.70811653137207,,47.06503677368164,45.739341735839844,73.88018035888672,24.269094467163086,67.83898162841797,26.437828063964844,26.656265258789062,19.985998153686523,24.640399932861328,97.29080963134766,75.64080810546875,46.16716766357422,,69.80986785888672,86.30186462402344,85.72281646728516,89.79114532470703,88.22066497802734,8.695225715637207,33.866085052490234,20.63999938964844,16.074392318725586,74.77438354492188,96.91148376464844,139.30123901367188,,,241.09503173828125,154.07034301757812,99.20450592041016,20.12704086303711,9.520000457763672,125.30999755859375,16.149999618530273,27.731605529785156,40.295166015625,32.33440399169922,35.97928237915039,37.51348876953125,56.169071197509766,74.56706237792969,113.62220001220703,56.45212936401367,78.01203155517578
2018-01-09,30.62966537475586,,47.157413482666016,45.67522048950195,74.74996948242188,24.457294464111328,68.27415466308594,26.37122344970703,26.61391258239746,19.789260864257812,24.35978889465332,97.65447998046876,75.87203979492188,46.19308853149414,,69.78489685058594,85.89120483398438,85.48689270019531,89.46432495117188,87.93380737304688,8.754578590393066,33.71831130981445,20.530000686645508,16.10877799987793,75.2193374633789,96.7467269897461,139.30123901367188,,,241.6407012939453,154.0798797607422,97.8778305053711,20.168851852416992,10.079999923706056,124.7300033569336,16.030000686645508,27.79372215270996,40.286781311035156,32.53025817871094,36.01047134399414,37.50565719604492,56.24361801147461,74.74208068847656,113.4200439453125,56.27870178222656,77.77096557617188
2018-01-10,30.523536682128906,,47.125083923339844,45.4508171081543,74.61947631835938,24.662601470947266,68.26546478271484,26.339677810668945,26.453004837036133,19.57323455810547,23.980587005615234,97.5544662475586,75.72974395751953,45.96846389770508,,69.80986785888672,85.8666000366211,85.48689270019531,89.52375793457031,87.90284729003906,8.789201736450195,33.77046585083008,20.649999618530273,16.04860496520996,74.54020690917969,96.87855529785156,139.58737182617188,,,241.2710876464844,153.71961975097656,97.75936126708984,20.11867904663086,9.81999969482422,125.02999877929688,16.020000457763672,27.775978088378906,40.05171203613281,32.54118728637695,35.91690444946289,37.34109115600586,56.55837631225586,74.38335418701172,113.25999450683594,56.156681060791016,77.54329681396484
2018-01-11,30.64811897277832,,47.89179992675781,45.386695861816406,74.9413070678711,24.782363891601562,69.13585662841797,26.8795108795166,26.800241470336914,19.499940872192383,23.82891082763672,98.21817016601562,76.12992858886719,46.106685638427734,,69.78489685058594,85.92405700683594,85.52621459960938,89.7391586303711,87.80982208251953,8.789201736450195,33.83131408691406,20.61000061035156,15.988433837890623,74.7509765625,96.18656158447266,138.64724731445312,,,243.0314178466797,154.771728515625,98.1621322631836,20.03506088256836,9.880000114440918,125.44000244140625,16.010000228881836,28.006704330444336,40.14405822753906,32.664161682128906,36.150840759277344,37.58403396606445,57.494384765625,74.9958267211914,115.01192474365234,56.34292984008789,77.64373016357422
2018-01-12,30.82807731628418,,48.51070785522461,45.402713775634766,75.51537322998047,25.004783630371094,69.77996063232422,27.138914108276367,26.842575073242188,19.38807487487793,23.654478073120117,99.15460968017578,76.68123626708984,46.244911193847656,,69.77652740478516,85.8666000366211,85.51048278808594,89.75401306152344,87.89507293701172,8.853500366210938,34.30070877075195,20.59000015258789,15.95404815673828,76.22632598876953,95.59342193603516,137.74798583984375,,,244.61575317382812,155.90916442871094,98.32794952392578,19.826013565063477,10.15999984741211,126.95999908447266,16.270000457763672,28.20193099975586,40.21961212158203,32.97115707397461,36.49394607543945,37.98369216918945,58.1404914855957,75.2058334350586,115.34884643554688,56.24663543701172,77.7575454711914
2018-01-16,30.70811653137207,,48.164302825927734,45.61111068725586,75.88935852050781,24.936342239379883,69.15327453613281,26.795379638671875,26.529232025146484,19.345643997192383,23.76823616027832,98.93638610839844,76.41446685791016,46.21036148071289,,69.76823425292969,85.90768432617188,85.53407287597656,89.83570861816406,88.04235076904297,8.799094200134277,34.30940246582031,20.510000228881836,15.936859130859377,75.2193374633789,95.8899917602539,138.0749969482422,,,243.77951049804688,155.4636688232422,98.7385482788086,19.717309951782227,11.65999984741211,127.16999816894531,16.25,28.042207717895508,40.10207748413086,32.94017791748047,36.45494842529297,37.79561233520508,57.56065368652344,74.80332946777344,114.28756713867188,56.21446228027344,77.76428985595703
